254297  , -29138.7    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000152104])
254298  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254299  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254300  , -29121      , array([ 0.00101944 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254301  , -29155      , array([ 0.00101842 ,  0.00166266 ,  1.25601e-06,  6.11663e-38,  0.000151952])
254302  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25727e-06,  6.11663e-38,  0.000151952])
254303  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.12275e-38,  0.000151952])
254304  , -29138.7    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000152104])
254312  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254313  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254314  , -29121      , array([ 0.00101944 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254315  , -29155      , array([ 0.00101842 ,  0.00166266 ,  1.25601e-06,  6.11663e-38,  0.000151952])
